STORE_NUMBER,CITY,STATE,ZIPCODE,LONG,LAT
3513-125945,Anchorage,AK,99504,-149.78,61.21
74352-84449,Anchorage,AK,99507,-149.84,61.14
12449-152385,Anchorage,AK,99515,-149.85,61.11
24936-233524,Anchorage,AK,99515,-149.89,61.13
8973-85630,Anchorage,AK,99515,-149.86,61.14
72788-84447,Anchorage,AK,99508,-149.87,61.19
79549-106150,Anchorage,AK,99508,-149.82,61.22
75988-107245,Anchorage,AK,99502,-149.98,61.18
11426-99254,Anchorage,AK,99503,-149.88,61.18
20349-108249,Anchorage,AK,99504,-149.74,61.21
74266-52019,Anchorage,AK,99504,-149.74,61.2
72727-61659,Anchorage,AK,99507,-149.84,61.14
76943-129964,Anchorage,AK,99504,-149.74,61.23
72784-33081,Anchorage,AK,99515,-149.92,61.14
9622-85633,Anchorage,AK,99507,-149.84,61.18
75323-100264,Anchorage,AK,99506,-149.75,61.23
79664-81037,Anchorage,AK,99502,-149.96,61.14
28191-249962,Anchorage,AK,99501,-149.89,61.22
3774-145044,Anchorage,AK,99515,-149.88,61.13
28028-249124,Anchorage,AK,99502,-149.95,61.15
75697-94324,Anchorage,AK,99502,-149.98,61.17
74430-51979,Anchorage,AK,99517,-149.92,61.19
17941-159568,Anchorage,AK,99504,-149.74,61.23
19819-178265,Anchorage,AK,99501,-149.89,61.22
74265-64199,Eagle River,AK,99577,-149.57,61.32
10126-97747,Eagle River,AK,99577,-149.57,61.33
72772-78880,Eagle River,AK,99577,-149.55,61.35
79719-100712,Fairbanks,AK,99709,-147.81,64.84
74452-94707,Fairbanks,AK,99701,-147.7,64.85
72709-33079,Fairbanks,AK,99709,-147.82,64.84
27150-246609,Fairbanks,AK,99709,-147.87,64.82
72975-95761,Fairbanks,AK,99701,-147.69,64.85
75471-106357,Fort Richardson,AK,99505,-149.68,61.26
70386-135644,Fort Wainwright,AK,99703,-147.65,64.83
74917-98110,Homer,AK,99603,-151.54,59.64
74283-69901,Juneau,AK,99801,-134.55,58.36
79324-94693,Juneau,AK,99801,-134.56,58.36
74640-93401,Ketchikan,AK,99901,-131.67,55.35
74474-94708,Kodiak,AK,99615,-152.37,57.81
25843-94709,North Pole,AK,99705,-147.35,64.76
15313-159926,Palmer,AK,99645,-149.13,61.6
72980-94694,Palmer,AK,99645,-149.12,61.6
74706-97007,Seward,AK,99664,-149.43,60.13
72946-94692,Soldotna,AK,99669,-151.05,60.49
74695-94706,Soldotna,AK,99669,-151.07,60.48
17912-136436,Wasilla,AK,99654,-149.41,61.58
4146-104969,Wasilla,AK,99654,-149.44,61.58
76916-131305,Wasilla,AK,99654,-149.41,61.58
72773-82040,Wasilla,AK,99654,-149.41,61.58
76795-96265,Alabaster,AL,35007,-86.81,33.23
13210-95453,Alabaster,AL,35007,-86.8,33.22
10796-102254,Alabaster,AL,35007,-86.83,33.21
10248-100069,Athens,AL,35611,-86.95,34.78
47255-121766,Auburn,AL,36830,-85.46,32.61
22803-218127,Auburn,AL,36849,-85.48,32.61
78065-105597,Auburn,AL,36849,-85.49,32.6
76912-128666,Bessemer,AL,35022,-86.93,33.33
72614-22325,Birmingham,AL,35242,-86.71,33.43
13779-108621,Birmingham,AL,35210,-86.72,33.53
24427-237908,Birmingham,AL,35233,-86.8,33.51
18675-189964,Birmingham,AL,35212,-86.75,33.56
11083-104088,Birmingham,AL,35209,-86.83,33.45
3478-92800,Birmingham,AL,35242,-86.67,33.42
78059-106248,Birmingham,AL,35209,-86.78,33.46
25845-235684,Birmingham,AL,35233,-86.81,33.5
70067-133044,Birmingham,AL,35203,-86.81,33.5
23642-225124,Birmingham,AL,35223,-86.8,33.51
22706-222686,Birmingham,AL,35212,-86.75,33.56
75268-97436,Birmingham,AL,35205,-86.79,33.51
13703-107628,Birmingham,AL,35216,-86.81,33.4
6964-86620,Birmingham,AL,35244,-86.81,33.37
8396-28812,Birmingham,AL,35205,-86.8,33.5
72615-22327,Birmingham,AL,35235,-86.64,33.6
17221-169985,Cullman,AL,35055,-86.84,34.15
13211-104121,Daphne,AL,36526,-87.91,30.65
76832-97609,Decatur,AL,35601,-86.96,34.59
13704-107959,Decatur,AL,35603,-87,34.56
76742-95745,Dothan,AL,36303,-85.45,31.27
17646-153585,Florence,AL,35632,-87.68,34.8
20271-202065,Florence,AL,35630,-87.64,34.84
9971-96354,Foley,AL,36535,-87.68,30.38
76843-111224,Fultondale,AL,35068,-86.81,33.61
23672-230991,Gadsden,AL,35904,-86.08,33.99
23630-227625,Gardendale,AL,35071,-86.82,33.65
76584-99835,Gulf Shores,AL,36542,-87.68,30.3
18944-175726,Homewood,AL,35209,-86.77,33.47
24032-228009,Hoover,AL,35244,-86.85,33.36
6965-85181,Hoover,AL,35242,-86.7,33.42
5108-145307,Hoover,AL,35226,-86.83,33.4
28311-249956,Hoover,AL,35244,-86.81,33.38
8488-38759,Hoover,AL,35244,-86.81,33.38
10127-99686,Huntsville,AL,35801,-86.59,34.77
72653-48479,Huntsville,AL,35802,-86.55,34.68
9543-97230,Huntsville,AL,35802,-86.57,34.69
9507-96863,Huntsville,AL,35801,-86.58,34.72
12493-152666,Huntsville,AL,35806,-86.71,34.75
72635-32262,Huntsville,AL,35806,-86.68,34.74
10062-99521,Huntsville,AL,35801,-86.6,34.74
11428-104120,Madison,AL,35758,-86.74,34.75
48885-260445,Madison,AL,35758,-86.75,34.71
16910-165028,Madison,AL,35758,-86.76,34.75
19891-192724,Mobile,AL,36688,-88.18,30.7
9970-97273,Mobile,AL,36606,-88.12,30.68
11673-105401,Mobile,AL,36606,-88.12,30.67
25695-236913,Mobile,AL,36606,-88.12,30.65
72658-64920,Mobile,AL,36695,-88.23,30.67
11324-104129,Mobile,AL,36604,-88.07,30.68
8724-93235,Mobile,AL,36695,-88.23,30.68
10537-96355,Mobile,AL,36695,-88.19,30.66
8581-86640,Mobile,AL,36608,-88.14,30.68
10538-101306,Mobile,AL,36608,-88.13,30.7
10772-101748,Montgomery,AL,36117,-86.18,32.38
21849-215404,Montgomery,AL,36117,-86.16,32.36
3426-240988,Montgomery,AL,36106,-86.22,32.36
9809-97244,Montgomery,AL,36106,-86.26,32.35
2960-85962,Montgomery,AL,36117,-86.17,32.36
10771-102253,Montgomery,AL,36116,-86.18,32.34
8418-41260,Mountain Brook,AL,35223,-86.77,33.48
76396-80263,Opelika,AL,36801,-85.41,32.62
25201-233569,Opelika,AL,36801,-85.37,32.64
9544-97240,Opelika,AL,36801,-85.4,32.62
24727-236464,Orange Beach,AL,36561,-87.59,30.27
76606-101463,Oxford,AL,36203,-85.78,33.61
9738-97528,Oxford,AL,36203,-85.83,33.61
20585-202066,Prattville,AL,36066,-86.39,32.46
76796-108570,Prattville,AL,36066,-86.43,32.47
10249-96359,Spanish Fort,AL,36527,-87.85,30.67
3453-93234,Trussville,AL,35235,-86.65,33.6
72121-3608,Tuscaloosa,AL,35487,-87.55,33.21
13482-94577,Tuscaloosa,AL,35404,-87.53,33.2
72668-65003,Tuscaloosa,AL,35404,-87.51,33.2
48066-207044,Tuscaloosa,AL,35401,-87.55,33.21
9587-97243,Vestavia Hills,AL,35243,-86.74,33.46
8560-79440,Vestavia Hills,AL,35216,-86.79,33.45
20651-205405,Arkadelphia,AR,71999,-93.06,34.13
10991-101243,Benton,AR,72015,-92.53,34.61
25805-223044,Benton,AR,72022,-92.62,34.61
8852-94767,Bentonville,AR,72712,-94.21,36.36
13462-107100,Bentonville,AR,72712,-94.2,36.34
27606-244627,Bentonville,AR,72719,-94.25,36.36
76683-102489,Bryant,AR,72022,-92.53,34.6
9810-98145,Conway,AR,72032,-92.42,35.09
70039-116729,Conway,AR,72035,-92.45,35.08
76225-88902,Conway,AR,72032,-92.39,35.08
9811-98146,Conway,AR,72032,-92.44,35.11
75494-107197,Fayetteville,AR,72701,-94.18,36.07
17955-176365,Fayetteville,AR,72701,-94.19,36.06
24570-233804,Fayetteville,AR,72704,-94.21,36.08
10483-91426,Fayetteville,AR,72703,-94.15,36.12
7969-94774,Fort Smith,AR,72903,-94.36,35.36
76995-129147,Ft. Smith,AR,72903,-94.39,35.34
21675-208464,Ft. Smith,AR,72913,-94.35,35.35
8782-85860,Hot Springs,AR,71913,-93.06,34.46
11215-103991,Jacksonville,AR,72076,-92.11,34.89
19149-193825,Jonesboro,AR,72401,-90.67,35.82
48622-262264,Jonesboro,AR,72401,-90.68,35.84
29765-255204,Jonesboro,AR,72401,-90.71,35.82
76486-93022,Jonesboro,AR,72401,-90.67,35.82
28984-247347,Little Rock,AR,72209,-92.41,34.66
48764-205406,Little Rock,AR,72201,-92.27,34.75
8583-79243,Little Rock,AR,72211,-92.4,34.75
28604-249870,Little Rock,AR,72205,-92.34,34.75
11216-103550,Little Rock,AR,72227,-92.38,34.76
8579-84082,Little Rock,AR,72207,-92.36,34.77
75684-84361,Little Rock,AR,72202,-92.22,34.73
70011-120025,Little Rock,AR,72202,-92.22,34.73
10484-101095,Little Rock,AR,72205,-92.34,34.75
19456-176367,Little Rock,AR,72223,-92.45,34.76
9048-151745,Little Rock,AR,72205,-92.34,34.75
11431-104464,Little Rock,AR,72201,-92.28,34.74
10580-101596,Little Rock,AR,72207,-92.34,34.77
76960-129148,Little Rock,AR,72211,-92.41,34.75
10657-100879,Little Rock,AR,72223,-92.42,34.8
24964-239005,Little Rock,AR,72212,-92.4,34.77
3883-108573,Little Rock,AR,72099,-92.15,34.9
11709-104595,Maumelle,AR,72113,-92.4,34.85
28934-248986,Mountain Home,AR,72653,-92.37,36.35
25530-239094,North Little Rock,AR,72116,-92.23,34.82
9813-97844,North LIttle Rock,AR,72116,-92.25,34.8
10422-100877,Rogers,AR,72756,-94.18,36.33
70343-138924,Rogers,AR,72758,-94.17,36.3
10485-100878,Rogers,AR,72758,-94.15,36.28
18208-176368,Rogers,AR,72758,-94.18,36.31
11743-104981,Russellville,AR,72802,-93.11,35.28
17694-116730,Searcy,AR,72149,-91.73,35.25
25831-241311,Searcy,AR,72143,-91.69,35.25
29087-251505,Springdale,AR,72762,-94.18,36.18
20391-179504,Texarkana,AR,71854,-94.04,33.46
26672-244125,Van Buren,AR,72956,-94.36,35.47
21989-106025,Anthem,AZ,85086,-112.13,33.84
6581-67540,Anthem,AZ,85086,-112.14,33.87
14177-106635,Anthem,AZ,85086,-112.13,33.84
3765-148824,Apache Junction,AZ,85120,-111.55,33.41
9862-97880,Apache Junction,AZ,85120,-111.57,33.42
47792-257948,Avondale,AZ,85392,-112.34,33.46
6779-78100,Avondale,AZ,85392,-112.28,33.46
9415-96478,Avondale,AZ,85323,-112.31,33.43
6690-75361,Avondale,AZ,85392,-112.29,33.49
3923-145470,Benson,AZ,85602,-110.31,31.97
79633-111085,Bisbee,AZ,85603,-109.92,31.4
21316-211384,Buckeye,AZ,85326,-112.56,33.43
74292-74769,Bullhead City,AZ,86442,-114.59,35.12
76879-121628,Bullhead City,AZ,86442,-114.59,35.05
8105-95016,Camp Verde,AZ,86322,-111.88,34.58
73896-103689,Camp Verde,AZ,86322,-111.86,34.57
47139-256164,CAREFREE,AZ,85377,-111.92,33.82
74398-83385,Casa Grande,AZ,85122,-111.74,32.9
11217-103791,Casa Grande,AZ,85122,-111.72,32.88
73946-106028,Casa Grande,AZ,85122,-111.76,32.93
73847-106042,Cave Creek,AZ,85331,-111.98,33.8
6582-243618,Cave Creek,AZ,85331,-111.97,33.8
22006-106706,Cave Creek,AZ,85331,-111.99,33.75
48890-245841,Chandler,AZ,85249,-111.8,33.22
11984-104952,Chandler,AZ,85224,-111.89,33.32
5907-35120,Chandler,AZ,85225,-111.86,33.35
5974-40479,Chandler,AZ,85226,-111.9,33.3
29379-251913,Chandler,AZ,85249,-111.79,33.25
17721-165444,Chandler,AZ,85286,-111.84,33.25
28207-249841,CHANDLER,AZ,85226,-111.9,33.31
74493-96793,Chandler,AZ,85248,-111.86,33.23
6722-71281,Chandler,AZ,85226,-111.95,33.31
11889-105156,Chandler,AZ,85249,-111.79,33.23
73701-106036,Chandler,AZ,85249,-111.73,33.22
74805-98888,Chandler,AZ,85225,-111.82,33.32
5448-238024,Chandler,AZ,85224,-111.88,33.3
20381-204925,Chandler,AZ,85224,-111.86,33.31
20336-204609,Chandler,AZ,85226,-111.9,33.3
6635-63359,Chandler,AZ,85226,-111.91,33.32
8975-95098,Chandler,AZ,85286,-111.84,33.29
15775-153907,Chandler,AZ,85248,-111.84,33.25
6560-64619,Chandler,AZ,85248,-111.86,33.26
72536-102068,Chandler,AZ,85249,-111.79,33.23
22030-214184,Chandler,AZ,85286,-111.86,33.28
73578-74774,Chandler,AZ,85249,-111.79,33.22
79796-111048,Chandler,AZ,85224,-111.86,33.3
5898-35199,Chandler,AZ,85226,-111.97,33.32
15746-160304,Chandler,AZ,85226,-111.93,33.32
22183-214187,Chandler,AZ,85226,-111.93,33.3
6885-82582,Chandler,AZ,85224,-111.88,33.34
74416-88963,Chino Valley,AZ,86323,-112.45,34.76
70318-136608,Coolidge,AZ,85128,-111.52,32.99
74411-82504,Cottonwood,AZ,86326,-112.01,34.73
79536-101003,Flagstaff,AZ,86004,-111.62,35.22
25697-103428,Flagstaff,AZ,86001,-111.67,35.18
70023-117805,Flagstaff,AZ,86011,-111.66,35.19
17806-185724,Flagstaff,AZ,86001,-111.65,35.18
74227-59039,Flagstaff,AZ,86001,-111.66,35.19
9624-96090,Flagstaff,AZ,86001,-111.66,35.19
79552-96791,Flagstaff,AZ,86004,-111.58,35.23
5988-211704,Flagstaff,AZ,86001,-111.63,35.2
76430-97574,Flagstaff,AZ,86001,-111.66,35.18
23523-230691,Flagstaff,AZ,86001,-111.63,35.19
79659-107241,Florence,AZ,85132,-111.49,33.06
78098-106795,Fort Huachuca,AZ,85613,-110.36,31.55
25967-242726,Fort Mohave,AZ,86426,-114.6,35.02
74975-101172,Fort Mohave,AZ,86426,-114.6,35.02
5586-1312,Fountain Hills,AZ,85268,-111.73,33.61
74539-65039,Fountain Hills,AZ,85268,-111.73,33.61
20344-204610,Fountain Hills,AZ,85268,-111.72,33.57
76302-96624,Gilbert,AZ,85297,-111.79,33.28
7137-150410,Gilbert,AZ,85297,-111.72,33.29
19282-181688,Gilbert,AZ,85296,-111.74,33.3
22387-167244,Gilbert,AZ,85295,-111.79,33.3
73540-53499,Gilbert,AZ,85296,-111.81,33.34
25972-237346,Gilbert,AZ,85233,-111.81,33.33
23573-230686,Gilbert,AZ,85295,-111.72,33.29
70372-127124,Gilbert,AZ,85295,-111.75,33.33
19229-199644,Gilbert,AZ,85204,-111.79,33.38
74792-94835,Gilbert,AZ,85234,-111.72,33.38
5966-42259,Gilbert,AZ,85296,-111.76,33.33
9413-95026,Gilbert,AZ,85297,-111.79,33.28
28560-250158,Gilbert,AZ,85295,-111.74,33.31
74237-64179,Gilbert,AZ,85296,-111.76,33.35
73601-83370,Gilbert,AZ,85297,-111.69,33.27
73849-118684,Gilbert,AZ,85296,-111.72,33.35
5377-239765,Gilbert,AZ,85233,-111.81,33.34
28192-249957,Glendale,AZ,85308,-112.23,33.64
76853-111232,Glendale,AZ,85302,-112.15,33.58
10259-99925,Glendale,AZ,85302,-112.2,33.58
6894-84202,Glendale,AZ,85308,-112.23,33.65
6874-85694,Glendale,AZ,85308,-112.19,33.65
75378-103975,Glendale,AZ,85306,-112.16,33.61
74450-94951,Glendale,AZ,85308,-112.2,33.67
20216-195245,Glendale,AZ,85310,-112.14,33.71
72123-3569,Glendale,AZ,85309,-112.36,33.54
25584-240129,Glendale,AZ,85308,-112.22,33.67
5376-1128,Glendale,AZ,85308,-112.2,33.67
73348-24048,Glendale,AZ,85304,-112.17,33.6
79705-101002,Glendale,AZ,85306,-112.18,33.61
5465-1129,Glendale,AZ,85306,-112.19,33.61
5500-249087,Glendale,AZ,85308,-112.23,33.64
73971-138188,Glendale,AZ,85308,-112.19,33.67
5036-106034,Glendale,AZ,85308,-112.15,33.64
6539-155146,Glendale,AZ,85310,-112.14,33.71
27678-241729,Gold Canyon,AZ,85118,-111.47,33.37
8188-150412,Goodyear,AZ,85338,-112.41,33.44
76968-129328,Goodyear,AZ,85338,-112.4,33.46
74446-86460,Goodyear,AZ,85338,-112.39,33.45
11890-95688,Goodyear,AZ,85395,-112.34,33.47
74198-34460,Goodyear,AZ,85338,-112.36,33.49
5923-37479,GOODYEAR,AZ,85395,-112.36,33.46
12930-155424,Goodyear,AZ,85338,-112.42,33.36
74403-83394,Green Valley,AZ,85614,-111,31.85
9588-96089,Higley,AZ,85236,-111.69,33.33
11218-102230,Kingman,AZ,86409,-114.04,35.23
79580-105116,Kingman,AZ,86401,-114.04,35.21
20215-200588,Kingman,AZ,86409,-114.04,35.24
8853-95105,Lake Havasu City,AZ,86403,-114.34,34.47
74229-59079,Lake Havasu City,AZ,86403,-114.34,34.47
21400-212347,Lake Havasu City,AZ,86403,-114.32,34.48
73707-106060,Lake Havasu City,AZ,86406,-114.28,34.46
74374-87844,Lakeside,AZ,85929,-109.96,34.14
17800-181285,Laveen,AZ,85339,-112.17,33.38
9995-99040,Laveen,AZ,85339,-112.17,33.38
79775-110404,Laveen,AZ,85339,-112.17,33.38
11892-105919,Litchfield Park,AZ,85340,-112.34,33.51
72593-102521,Litchfield Park,AZ,85340,-112.34,33.51
48884-245840,Litchfield Park,AZ,85340,-112.37,33.51
47582-257024,Litchfield Park,AZ,85340,-112.36,33.51
25943-230605,Marana,AZ,85742,-111.1,32.37
73868-106710,Marana,AZ,85658,-111.3,32.41
74379-83392,Marana,AZ,85653,-111.14,32.37
8854-95070,Marana,AZ,85741,-111.05,32.34
15605-151604,Marana,AZ,85741,-111.05,32.34
23560-206847,Maricopa,AZ,85139,-112.04,33.07
21997-97584,Maricopa,AZ,85139,-112.2,33.07
72589-103446,Maricopa,AZ,85139,-112.05,33.07
23472-228104,Mesa,AZ,85210,-111.84,33.38
6955-89981,Mesa,AZ,85202,-111.86,33.39
14378-111373,Mesa,AZ,85206,-111.69,33.41
49004-256165,Mesa,AZ,85215,-111.68,33.47
5672-2704,Mesa,AZ,85204,-111.75,33.38
5415-1160,Mesa,AZ,85204,-111.79,33.38
28769-250264,Mesa,AZ,85201,-111.87,33.43
14520-119804,Mesa,AZ,85215,-111.73,33.45
6498-54080,Mesa,AZ,85215,-111.68,33.47
16341-160305,Mesa,AZ,85202,-111.88,33.36
74443-94941,Mesa,AZ,85209,-111.64,33.38
74801-99596,Mesa,AZ,85206,-111.75,33.39
12504-146044,Mesa,AZ,85207,-111.63,33.44
74802-99056,Mesa,AZ,85213,-111.77,33.42
5656-2087,Mesa,AZ,85204,-111.8,33.38
79763-113970,Mesa,AZ,85201,-111.87,33.42
19863-200586,Mesa,AZ,85205,-111.73,33.42
25946-243084,Mesa,AZ,85210,-111.86,33.38
76301-96596,Mesa,AZ,85212,-111.69,33.32
76226-92082,Mesa,AZ,85202,-111.86,33.39
79701-101004,Mesa,AZ,85202,-111.86,33.36
24207-228145,Mesa,AZ,85201,-111.88,33.43
25984-239415,Mesa,AZ,85208,-111.63,33.41
47254-247326,Mesa,AZ,85209,-111.64,33.4
13484-107641,Mesa,AZ,85206,-111.74,33.38
11891-103701,Mesa,AZ,85209,-111.6,33.38
3972-146748,Mesa,AZ,85215,-111.7,33.45
20665-204611,Mesa,AZ,85206,-111.68,33.39
74810-91320,Mesa,AZ,85215,-111.68,33.46
5610-244258,Mesa,AZ,85209,-111.69,33.38
6756-70860,Mesa,AZ,85209,-111.64,33.38
10539-98366,Mesa,AZ,85204,-111.75,33.39
21405-210864,Mesa,AZ,85203,-111.8,33.45
5579-1311,Mesa,AZ,85202,-111.87,33.38
48693-105418,Mesa,AZ,85212,-111.68,33.31
13742-108945,Mesa,AZ,85203,-111.8,33.45
72565-103444,Mesa,AZ,85209,-111.6,33.38
26134-239414,Miami,AZ,85539,-110.87,33.4
22982-217348,Morenci,AZ,85540,-109.33,33.05
79669-113973,Nogales,AZ,85621,-110.94,31.37
25578-240453,Nogales,AZ,85621,-110.94,31.37
70314-140366,Oro Valley,AZ,85737,-110.96,32.4
74414-91321,Oro Valley,AZ,85755,-110.96,32.43
6683-74641,Oro Valley,AZ,85737,-110.96,32.4
20278-176064,Oro Valley,AZ,85737,-111,32.4
79615-111046,Page,AZ,86040,-111.46,36.92
74999-101170,Parker,AZ,85344,-114.28,34.15
74418-83388,Payson,AZ,85541,-111.32,34.24
24883-200585,Payson,AZ,85541,-111.31,34.25
6733-77520,Peoria,AZ,85381,-112.22,33.61
16389-164466,Peoria,AZ,85382,-112.24,33.68
11433-104335,Peoria,AZ,85383,-112.27,33.71
25205-237525,Peoria,AZ,85382,-112.23,33.64
73125-21397,Peoria,AZ,85382,-112.24,33.68
74401-83387,Peoria,AZ,85345,-112.29,33.56
49342-266924,Peoria,AZ,85383,-112.27,33.71
76731-97576,Peoria,AZ,85383,-112.27,33.71
72590-102066,Peoria,AZ,85382,-112.28,33.67
5622-224206,Peoria,AZ,85382,-112.23,33.64
79707-101342,Peoria,AZ,85383,-112.26,33.72
20488-195008,Phoenix,AZ,85016,-112.03,33.51
5328-1010,Phoenix,AZ,85028,-111.98,33.58
74284-74767,Phoenix,AZ,85022,-112.07,33.64
18139-172188,Phoenix,AZ,85034,-112,33.44
5451-1387,Phoenix,AZ,85027,-112.12,33.67
70322-136611,Phoenix,AZ,85033,-112.24,33.51
74209-26810,Phoenix,AZ,85331,-111.99,33.76
11434-105423,Phoenix,AZ,85016,-112.01,33.48
74940-101009,Phoenix,AZ,85048,-112.05,33.31
29767-254779,Phoenix,AZ,85051,-112.15,33.57
72599-106024,Phoenix,AZ,85016,-112.04,33.51
9449-95835,Phoenix,AZ,85050,-111.98,33.68
10930-103560,Phoenix,AZ,85015,-112.11,33.48
17114-172186,Phoenix,AZ,85034,-112.01,33.44
5326-1013,Phoenix,AZ,85003,-112.07,33.47
21102-152448,Phoenix,AZ,85021,-112.1,33.54
76656-108201,Phoenix,AZ,85022,-112.07,33.64
23905-231325,Phoenix,AZ,85023,-112.1,33.61
27544-245014,Phoenix,AZ,85027,-112.12,33.67
76262-90568,Phoenix,AZ,85042,-112.03,33.38
10798-101370,Phoenix,AZ,85007,-112.08,33.47
74723-98265,Phoenix,AZ,85020,-112.06,33.54
72598-106057,Phoenix,AZ,85258,-111.88,33.58
8974-95021,Phoenix,AZ,85085,-112.11,33.71
9450-95709,Phoenix,AZ,85037,-112.28,33.51
9251-95286,Phoenix,AZ,85053,-112.15,33.61
74436-65099,Phoenix,AZ,85018,-111.98,33.5
20277-176125,Phoenix,AZ,85053,-112.12,33.64
28203-249815,PHOENIX,AZ,85016,-112.03,33.51
21438-97176,Phoenix,AZ,85044,-111.97,33.31
73505-53439,Phoenix,AZ,85050,-111.97,33.68
16797-172187,Phoenix,AZ,85034,-112.01,33.44
74323-64659,Phoenix,AZ,85016,-112.01,33.51
27594-247149,Phoenix,AZ,85032,-111.98,33.6
16299-164165,Phoenix,AZ,85016,-112.01,33.53
5480-1569,Phoenix,AZ,85012,-112.08,33.48
19210-169088,Phoenix,AZ,85013,-112.08,33.51
8656-93357,Phoenix,AZ,85032,-112.01,33.64
7074-149408,Phoenix,AZ,85310,-112.2,33.71
75507-34919,Phoenix,AZ,85054,-111.97,33.68
5958-7369,Phoenix,AZ,85050,-111.97,33.68
8606-93575,Phoenix,AZ,85022,-112.07,33.64
20444-195007,Phoenix,AZ,85032,-112.01,33.64
5435-1163,Phoenix,AZ,85016,-112.05,33.51
24426-237911,Phoenix,AZ,85027,-112.12,33.67
6966-85340,Phoenix,AZ,85048,-111.98,33.3
14593-112345,Phoenix,AZ,85041,-112.1,33.38
74101-22842,Phoenix,AZ,85048,-112,33.3
16835-172189,Phoenix,AZ,85034,-112.01,33.44
5455-1418,Phoenix,AZ,85032,-111.98,33.6
5837-27007,Phoenix,AZ,85004,-112.07,33.45
5160-145465,Phoenix,AZ,85018,-112.02,33.48
13213-100434,Phoenix,AZ,85008,-111.99,33.48
76360-97181,Phoenix,AZ,85035,-112.22,33.48
3991-148365,Phoenix,AZ,85028,-111.98,33.58
10309-98945,Phoenix,AZ,85037,-112.25,33.48
2836-89363,Phoenix,AZ,85032,-112,33.63
79721-101010,Phoenix,AZ,85053,-112.13,33.64
21986-106021,Phoenix,AZ,85254,-111.94,33.62
48028-256724,Phoenix,AZ,85044,-111.98,33.33
73175-21704,Phoenix,AZ,85032,-112.03,33.65
47951-246504,Phoenix,AZ,85022,-112.05,33.64
14560-108520,Phoenix,AZ,85022,-112.06,33.64
9414-95702,Phoenix,AZ,85042,-112.03,33.38
19281-187644,Phoenix,AZ,85012,-112.07,33.49
76362-97182,Phoenix,AZ,85018,-111.98,33.48
19764-172585,Phoenix,AZ,85016,-112.02,33.5
72498-10895,Phoenix,AZ,85026,-112.01,33.44
79791-101006,Phoenix,AZ,85022,-112.07,33.61
23629-231644,Phoenix,AZ,85018,-111.96,33.49
21889-203904,Phoenix,AZ,85028,-111.98,33.58
5810-20223,Phoenix,AZ,85018,-111.99,33.5
79754-111084,Phoenix,AZ,85051,-112.13,33.55
74944-101008,Phoenix,AZ,85032,-112.01,33.61
76825-111230,Phoenix,AZ,85015,-112.09,33.52
5829-21581,Phoenix,AZ,85022,-112.07,33.61
5439-1188,Phoenix,AZ,85032,-111.98,33.61
20314-204748,Phoenix,AZ,85013,-112.08,33.51
79515-96792,Phoenix,AZ,85042,-112.05,33.39
21596-200587,Phoenix,AZ,85029,-112.15,33.6
70315-140365,Phoenix,AZ,85044,-112.01,33.32
79767-136609,Phoenix,AZ,85373,-112.29,33.64
70064-138184,Phoenix,AZ,85004,-112.07,33.45
5534-170944,Phoenix,AZ,85003,-112.07,33.45
9997-97957,Phoenix,AZ,85035,-112.22,33.47
9065-113971,Phoenix,AZ,85085,-112.11,33.71
10128-98948,Phoenix,AZ,85014,-112.06,33.52
5469-237912,Phoenix,AZ,85021,-112.11,33.55
5422-1009,Phoenix,AZ,85016,-112.03,33.51
74998-101007,Phoenix,AZ,85004,-112.07,33.47
74722-65080,Phoenix,AZ,85044,-111.98,33.35
75382-102494,Phoenix,AZ,85004,-112.07,33.45
73728-106041,Phoenix,AZ,85032,-111.99,33.61
6954-87965,Phoenix,AZ,85016,-112.05,33.52
7971-95229,Phoenix,AZ,85017,-112.13,33.52
76610-100267,Phoenix,AZ,85032,-111.99,33.6
9590-96066,Phoenix,AZ,85013,-112.08,33.52
75274-80037,Phoenix,AZ,85013,-112.08,33.48
74439-82503,Phoenix,AZ,85013,-112.08,33.49
5547-194384,Phoenix,AZ,85032,-111.98,33.64
5865-29155,Phoenix,AZ,85254,-111.93,33.62
2940-92106,Phoenix,AZ,85054,-111.93,33.66
76596-96304,Phoenix,AZ,85003,-112.27,33.42
73583-79483,Phoenix,AZ,85086,-112.13,33.8
6682-222364,Phoenix,AZ,85029,-112.13,33.58
19168-178224,Prescott,AZ,86301,-112.43,34.55
5008-153924,Prescott,AZ,86305,-112.48,34.55
5828-25528,Prescott,AZ,86301,-112.47,34.55
79642-111047,Prescott,AZ,86303,-112.47,34.53
17467-176604,Prescott,AZ,86301,-112.46,34.6
74290-74771,Prescott,AZ,86301,-112.48,34.56
10799-101144,Prescott,AZ,86305,-112.49,34.56
6067-145466,Prescott Valley,AZ,86314,-112.34,34.59
29026-251944,Prescott Valley,AZ,86314,-112.34,34.59
74400-83386,Prescott Valley,AZ,86314,-112.33,34.59
14225-108521,Queen Creek,AZ,85143,-111.58,33.18
73965-138186,Queen Creek,AZ,85140,-111.57,33.22
76874-121625,Queen Creek,AZ,85142,-111.68,33.28
74360-83382,Queen Creek,AZ,85142,-111.68,33.26
72564-102069,Queen Creek,AZ,85142,-111.69,33.23
25812-241707,Queen Creek,AZ,85142,-111.64,33.26
